"stock_code","description","gross_sales_value","units_sold"
"23031","DRAWER KNOB CRACKLE GLAZE PINK",2132.5,1266
"21232","STRAWBERRY CERAMIC TRINKET POT",2131.22,1369
"22128","PARTY CONES CANDY ASSORTED",2127.53,1762
"23005","TRAVEL CARD WALLET I LOVE LONDON",2126.55,4733
"22509","SEWING BOX RETROSPOT DESIGN",2124.54,209
"84356","POMPOM CURTAIN",2124.15,424
"21980","PACK OF 12 RED RETROSPOT TISSUES",2121.18,6685
"37450","CERAMIC CAKE BOWL + HANGING CAKES",2117.54,714
"22498","WOODEN REGATTA BUNTING",2116.04,333
"21718","RED METAL BEACH SPADE",2113.39,1493
"22156","HEART DECORATION WITH PEARLS",2113.13,2196
"23046","PAPER LANTERN 9 POINT DELUXE STAR",2111.49,349
"23232","WRAP VINTAGE LEAF DESIGN",2109.42,5251
"22891","TEA FOR ONE POLKADOT",2108.18,420
"23233","WRAP POPPIES  DESIGN",2105.5,5175
"22733","3D TRADITIONAL CHRISTMAS STICKERS",2095.08,1583
"22996","TRAVEL CARD WALLET VINTAGE TICKET",2094.93,4801
"23315","IVORY REFECTORY CLOCK",2094.24,213
"23251","VINTAGE RED ENAMEL TRIM MUG",2090.75,1700
"23438","RED SPOT GIFT BAG LARGE",2089.92,1713
"21609","SET 12 LAVENDER  BOTANICAL T-LIGHTS",2086.69,763
"21506","FANCY FONT BIRTHDAY CARD,",2085.89,4922
"22593","CHRISTMAS GINGHAM STAR",2085.64,2263
"22744","MAKE YOUR OWN MONSOON CARD KIT",2084.85,867
"22055","MINI CAKE STAND  HANGING STRAWBERY",2083.19,1375
"23526","DOG LICENCE WALL ART",2081.64,408
"22059","CERAMIC STRAWBERRY DESIGN MUG",2081.54,1780
"22747","POPPY'S PLAYHOUSE BATHROOM",2080.85,954
"23152","IVORY SWEETHEART WIRE LETTER RACK",2080.65,554
"23536","VILLAGE SHOW WALL ART",2072.42,386
"22831","WHITE BROCANTE SOAP DISH",2070.9,706
"22863","SOAP DISH BROCANTE",2070.73,719
"23370","SET 36 COLOURING PENCILS DOILY",2070.35,1485
"23360","SET 8 CANDLES VINTAGE DOILY",2070.1,1060
"23227","FILIGREE HEART BUTTERFLY WHITE",2070.06,1642
"22935","BAKING MOULD ROSE MILK CHOCOLATE",2066.82,690
"23020","GLASS  SONGBIRD STORAGE JAR",2065.14,169
"23291","DOLLY GIRL CHILDRENS CUP",2059.03,1634
"22955","36 FOIL STAR CAKE CASES",2053.35,1040
"22101","MIRROR MOSAIC VOTIVE HOLDER",2053.17,1438
"47504K","ENGLISH ROSE GARDEN SECATEURS",2048.66,2018
"21864","UNION JACK FLAG PASSPORT COVER",2041.69,828
"20751","FUNKY WASHING UP GLOVES ASSORTED",2041.52,971
"22414","DOORMAT NEIGHBOURHOOD WITCH",2038.39,279
"23500","KEY RING BASEBALL BOOT ASSORTED",2038.33,1626
"22803","IVORY EMBROIDERED QUILT",2038.09,54
"23490","T-LIGHT HOLDER HANGING LOVE BIRD",2032.77,542
"22788","BROCANTE COAT RACK",2025.96,220
"22115","METAL SIGN EMPIRE TEA",2020.91,1549
"23268","SET OF 2 CERAMIC CHRISTMAS REINDEER",2018.14,1447
"20674","GREEN POLKADOT BOWL",2016.23,1563
"23543","KEEP CALM WALL ART",2015.97,269
"22959","WRAP CHRISTMAS VILLAGE",2014.42,4901
"23289","DOLLY GIRL CHILDRENS BOWL",2013.7,1622
"22897","OVEN MITT APPLES DESIGN",2013.1,1350
"84880","WHITE WIRE EGG HOLDER",2012.74,312
"22503","CABIN BAG VINTAGE PAISLEY",2010.12,99
"23358","HOT STUFF HOT WATER BOTTLE",2008.38,594
"23066","SMALL DECO JEWELLERY STAND",2005.81,243
"23274","STAR T-LIGHT HOLDER WILLIE WINKIE",2005,1180
"22080","RIBBON REEL POLKADOTS",2003.48,1206
"22859","EASTER TIN BUNNY BOUQUET",2003.07,1203
"22364","GLASS JAR DIGESTIVE BISCUITS",2001.32,616
"51014A","FEATHER PEN,HOT PINK",2000.06,3842
"85049G","CHOCOLATE BOX RIBBONS",1999.19,1608
"22186","RED STAR CARD HOLDER",1997.48,848
"21591","COSY HOUR CIGAR BOX MATCHES",1996.14,1374
"22928","YELLOW GIANT GARDEN THERMOMETER",1993.75,288
"72802B","OCEAN SCENT CANDLE IN JEWELLED BOX",1993.48,1028
"22579","WOODEN TREE CHRISTMAS SCANDINAVIAN",1988.02,5167
"22932","BAKING MOULD TOFFEE CUP CHOCOLATE",1985.58,878
"21622","VINTAGE UNION JACK CUSHION COVER",1982.64,380
"23357","HOT WATER BOTTLE SEX BOMB",1982.05,450
"22466","FAIRY TALE COTTAGE NIGHT LIGHT",1979.34,976
"15039","SANDALWOOD FAN",1978.64,2090
"37446","MINI CAKE STAND WITH HANGING CAKES",1976.09,1354
"21916","SET 12 RETRO WHITE CHALK STICKS",1973.49,4599
"22477","WATERING CAN GARDEN MARKER",1967.9,1364
"22931","BAKING MOULD HEART WHITE CHOCOLATE",1963.3,813
"23374","RED SPOT PAPER GIFT BAG",1962.83,2456
"23228","FILIGREE HEART BIRD WHITE",1960,1492
"84031A","CHARLIE+LOLA RED HOT WATER BOTTLE",1959.91,430
"23145","ZINC T-LIGHT HOLDER STAR LARGE",1956.68,2060
"85123a","WHITE HANGING HEART T-LIGHT HOLDER",1952.48,292
"22312","OFFICE MUG WARMER POLKADOT",1950.49,645
"20992","JAZZ HEARTS PURSE NOTEBOOK",1944.63,4425
"84596F","SMALL MARSHMALLOWS PINK BOWL",1943.62,3732
"22824","3 TIER SWEETHEART GARDEN SHELF",1938.25,55
"22639","SET OF 4 NAPKIN CHARMS HEARTS",1935.16,805
"22412","METAL SIGN NEIGHBOURHOOD WITCH",1931.85,911
"23231","WRAP DOILEY DESIGN",1927.26,4703
"23094","LE GRAND TRAY CHIC SET",1924.92,152
"21192","WHITE BELL HONEYCOMB PAPER",1923.29,1092
"22199","FRYING PAN RED RETROSPOT",1922.34,466
"22183","CAKE STAND VICTORIAN FILIGREE MED",1916.01,322
"21112","SWISS ROLL TOWEL PINK  SPOTS",1913.69,706
"20963","APPLE BATH SPONGE",1911.17,1336
"22291","HANGING CHICK CREAM DECORATION",1906.02,1289
"22594","CHRISTMAS GINGHAM TREE",1905.77,2006
"84968F","SET OF 16 VINTAGE SKY BLUE CUTLERY",1905.68,177
"23155","KNICKERBOCKERGLORY MAGNET ASSORTED",1904.77,2221
"23491","VINTAGE JINGLE BELLS HEART",1897.76,228
"16169E","WRAP 50'S  CHRISTMAS",1892.46,4563
"23068","ALUMINIUM STAMPED HEART",1892.23,779
"21068","VINTAGE BILLBOARD LOVE/HATE MUG",1890.33,1638
"35004C","SET OF 3 COLOURED  FLYING DUCKS",1888.1,394
"22602","RETROSPOT WOODEN HEART DECORATION",1886.28,2076
"23235","STORAGE TIN VINTAGE LEAF",1886.1,712
"15058B","PINK POLKADOT GARDEN PARASOL",1885.27,228
"23128","FELTCRAFT BOY JEAN-PAUL KIT",1884.76,366
"23434","3 RAFFIA RIBBONS 50'S CHRISTMAS",1884.17,2095
"85061W","WHITE JEWELLED HEART DECORATION",1882.15,2146
"20982","12 PENCILS TALL TUBE SKULLS",1880.67,2151
"21534","DAIRY MAID LARGE MILK JUG",1879.18,370
"23394","POSTE FRANCE CUSHION COVER",1877.65,435
"22027","TEA PARTY BIRTHDAY CARD",1873.71,4368
"22534","MAGIC DRAWING SLATE SPACEBOY",1871.12,4496
"22198","LARGE POPCORN HOLDER",1870.91,1025
"23090","VINTAGE GLASS T-LIGHT HOLDER",1870.03,2237
"23075","PARLOUR CERAMIC WALL HOOK",1869,450
"70006","LOVE HEART POCKET WARMER",1863.98,2702
"21988","PACK OF 6 SKULL PAPER PLATES",1862.75,2321
"22858","EASTER TIN KEEPSAKE",1860.78,1126
"22428","ENAMEL FIRE BUCKET CREAM",1854.76,246
"21870","I CAN ONLY PLEASE ONE PERSON MUG",1851.46,1407
"22220","CAKE STAND LOVEBIRD 2 TIER WHITE",1849.25,231
"72807A","SET/3 ROSE CANDLE IN JEWELLED BOX",1845.57,393
"22944","CHRISTMAS METAL POSTCARD WITH BELLS",1843.64,3375
"21557","SET OF 6 FUNKY BEAKERS",1843.61,551
"23378","PACK OF 12 50'S CHRISTMAS TISSUES",1840.08,3997
"22651","GENTLEMAN SHIRT REPAIR KIT",1837.47,2166
"21873","IF YOU CAN'T STAND THE HEAT MUG",1834.3,1618
"21564","PINK  HEART SHAPE LOVE BUCKET",1831.62,1042
"23109","LED TEA LIGHTS",1826.76,634
"72807B","SET/3 OCEAN SCENT CANDLE JEWEL BOX",1822.21,395
"22712","CARD DOLLY GIRL",1822.2,4435
"22223","CAKE PLATE LOVEBIRD PINK",1821.61,441
"15044D","RED PAPER PARASOL",1819.76,644
"21713","CITRONELLA CANDLE FLOWERPOT",1817.74,786
"22200","FRYING PAN PINK POLKADOT",1809.48,398
"15060B","FAIRY CAKE DESIGN UMBRELLA",1807.55,451
"22536","MAGIC DRAWING SLATE PURDEY",1803.95,4752
"85034C","3 ROSE MORRIS BOXED CANDLES",1800,1129
"23160","REGENCY TEA SPOON",1794.48,1450
"21832","CHOCOLATE CALCULATOR",1790.1,954
"21245","GREEN POLKADOT PLATE",1787.2,1075
"21034","REX CASH+CARRY JUMBO SHOPPER",1784.1,1878
"22832","BROCANTE SHELF WITH HOOKS",1781.82,162
"21114","LAVENDER SCENTED FABRIC HEART",1778.08,1341
"23317","BLUE REFECTORY CLOCK",1777.46,173
"23148","MINIATURE ANTIQUE ROSE HOOK IVORY",1775.51,2091
"22710","WRAP I LOVE LONDON",1774.42,4501
"21439","BASKET OF TOADSTOOLS",1767.15,1430
"21056","DOCTOR'S BAG SOFT TOY",1765.4,184
"21055","TOOL BOX SOFT TOY",1764.64,178
"22562","MONSTERS STENCIL CRAFT",1763.37,1413
"85035C","ROSE 3 WICK MORRIS BOX CANDLE",1760.66,1137
"22452","MEASURING TAPE BABUSHKA PINK",1760.31,722
"22314","OFFICE MUG WARMER CHOC+BLUE",1759.12,570
"22852","DOG BOWL VINTAGE CREAM",1757.88,390
"23372","SET 36 COLOUR PENCILS DOLLY GIRL",1750.29,1389
"23359","SET OF 12 T-LIGHTS VINTAGE DOILY",1747.51,929
"21812","GARLAND WITH HEARTS AND BELLS",1746.27,393
"23399","HOME SWEET HOME HANGING HEART",1745.55,1914
"20961","STRAWBERRY BATH SPONGE",1745.43,1232
"21584","RETROSPOT SMALL TUBE MATCHES",1743.35,1059
"20981","12 PENCILS TALL TUBE WOODLAND",1740.57,1974
"23101","SILVER STARS TABLE DECORATION",1739.63,2031
"23096","PETIT TRAY CHIC",1736.69,1033
"22119","PEACE WOODEN BLOCK LETTERS",1734.87,345
"23181","BULL DOG BOTTLE TOP WALL CLOCK",1733.57,201
"47570B","TEA TIME TABLE CLOTH",1727.23,185
"23122","PARTY CHARMS 50 PIECES",1726.09,2251
"21329","DINOSAURS  WRITING SET",1723.69,941
"21586","KINGS CHOICE GIANT TUBE MATCHES",1721.85,743
"21845","DAIRY MAID STRIPE MUG",1720.3,1906
"22526","WHEELBARROW FOR CHILDREN",1720.26,125
"85015","SET OF 12  VINTAGE POSTCARD SET",1718.54,2180
"22544","MINI JIGSAW SPACEBOY",1714.92,4518
"22227","HANGING HEART MIRROR DECORATION",1708.07,2341
"22934","BAKING MOULD EASTER EGG WHITE CHOC",1707.47,589
"23073","GEORGIAN TRINKET BOX",1706.5,143
"21917","SET 12 KIDS  WHITE CHALK STICKS",1701.93,4151
"37340","MULTICOLOUR SPRING FLOWER MUG",1695.86,2544
"22037","ROBOT BIRTHDAY CARD",1695.32,3929
"22674","FRENCH TOILET SIGN BLUE METAL",1692.72,1346
"22816","CARD MOTORBIKE SANTA",1691.76,3987
"51008","AFGHAN SLIPPER SOCK PAIR",1690.55,519
"21544","SKULLS  WATER TRANSFER TATTOOS",1687.68,1972
"16161U","WRAP SUKI AND FRIENDS",1687.5,4075
"21207","SKULL AND CROSSBONES  GARLAND",1684.85,1067
"23368","SET 12 COLOUR PENCILS DOLLY GIRL",1679.55,2379
"22332","SKULLS PARTY BAG + STICKER SET",1678,1032
"22913","RED COAT RACK PARIS FASHION",1673.15,352
"22419","LIPSTICK PEN RED",1673.1,3338
"23214","JINGLE BELL HEART ANTIQUE GOLD",1670.08,777
"22335","HEART DECORATION PAINTED ZINC",1668.89,2380
"15058A","BLUE POLKADOT GARDEN PARASOL",1668.49,200
"22076","6 RIBBONS EMPIRE",1667.88,1259
"21577","SAVE THE PLANET COTTON TOTE BAG",1664.9,720
"22804","PINK HANGING HEART T-LIGHT HOLDER",1664.16,880
"84968D","SET OF 16 VINTAGE RED CUTLERY",1661.47,157
"22479","DAISY GARDEN MARKER",1658.57,1139
"21578","WOODLAND DESIGN  COTTON TOTE BAG",1657.76,746
"22789","T-LIGHT HOLDER SWEETHEART HANGING",1657.02,844
"22853","CAT BOWL VINTAGE CREAM",1655.96,472
"21981","PACK OF 12 WOODLAND TISSUES",1651.3,5468
"23505","PLAYING CARDS I LOVE LONDON",1651.29,1200
"47566b","TEA TIME PARTY BUNTING",1651.15,199
"21111","SWISS ROLL TOWEL, CHOCOLATE  SPOTS",1651.02,900
"23273","HEART T-LIGHT HOLDER WILLIE WINKIE",1649.05,969
"23270","SET OF 2 CERAMIC PAINTED HEARTS",1646.32,1174
"22161","HEART DECORATION RUSTIC HANGING",1645.75,5083
"22154","ANGEL DECORATION 3 BUTTONS",1636.67,3745
"23483","HANGING  BUTTERFLY T-LIGHT HOLDER",1636.36,1328
"22474","SPACEBOY TV DINNER TRAY",1636.27,303
"23366","SET 12 COLOURING PENCILS DOILY",1636.1,2200
"23348","CHILDRENS TOY COOKING UTENSIL SET",1633.81,746
"35953","FOLKART STAR CHRISTMAS DECORATIONS",1633.67,3581
"84510A","SET OF 4 ENGLISH ROSE COASTERS",1630.32,1196
"85034B","3 WHITE CHOC MORRIS BOXED CANDLES",1628.78,945
"22375","AIRLINE BAG VINTAGE JET SET BROWN",1626.54,346
"22975","SPACEBOY CHILDRENS EGG CUP",1624.63,1204
"23391","I LOVE LONDON MINI BACKPACK",1624.02,388
"22799","SWEETHEART WIRE FRUIT BOWL",1623.08,207
"22473","TV DINNER TRAY VINTAGE PAISLEY",1623.04,503
"37495","FAIRY CAKE BIRTHDAY CANDLE SET",1622.24,440
"21706","FOLDING UMBRELLA RED/WHITE POLKADOT",1616.81,346
"22445","PENCIL CASE LIFE IS BEAUTIFUL",1615.91,534
"22166","WALL MIRROR RECTANGLE DIAMANTE PINK",1614.4,207
"23217","LAUREL HEART ANTIQUE SILVER",1613.82,1309
"21206","STRAWBERRY HONEYCOMB  GARLAND",1610.92,1290
"22671","FRENCH LAUNDRY SIGN BLUE METAL",1608.7,962
"85040A","S/4 PINK FLOWER CANDLES IN BOWL",1607.32,888
"22095","LADS ONLY TISSUE BOX",1605.96,1643
"22305","COFFEE MUG PINK PAISLEY DESIGN",1604.58,693
"22292","HANGING CHICK  YELLOW DECORATION",1604.51,1136
"21394","RED POLKADOT BEAKER",1603.77,3865
"23287","RED VINTAGE SPOT BEAKER",1603.39,1879
"22948","METAL DECORATION NAUGHTY CHILDREN",1603.29,1599
"22284","HEN HOUSE DECORATION",1597.07,927
"23226","FILIGREE HEART DAISY WHITE",1596.67,1247
"23244","ROUND STORAGE TIN VINTAGE LEAF",1593.58,864
"18097C","WHITE TALL PORCELAIN T-LIGHT HOLDER",1591.01,695
"22475","SKULL DESIGN TV DINNER TRAY",1590.82,313
"22398","MAGNETS PACK OF 4 SWALLOWS",1589.12,2575
"15056n","EDWARDIAN PARASOL NATURAL",1585.28,127
"21626","VINTAGE UNION JACK PENNANT",1584.8,794
"22449","SILK PURSE BABUSHKA PINK",1583.95,491
"46000M","POLYESTER FILLER PAD 45x45cm",1582.55,1021
"21967","PACK OF 12 SKULL TISSUES",1582.15,5271
"23369","SET 36 COLOUR PENCILS LOVE LONDON",1581.06,1105
"22676","FRENCH BLUE METAL DOOR SIGN 1",1578.39,1155
"21509","COWBOYS AND INDIANS BIRTHDAY CARD",1572.28,3741
"22494","EMERGENCY FIRST AID TIN",1572.27,1088
"22208","WOOD STAMP SET THANK YOU",1571.49,1509
"22434","BALLOON PUMP WITH 10 BALLOONS",1570.41,793
"22583","PACK OF 6 HANDBAG GIFT BOXES",1570.4,573
"85206A","CREAM FELT EASTER EGG BASKET",1568.93,974
"23462","ROCOCO WALL MIRROR WHITE",1567.14,78
"22085","PAPER CHAIN KIT SKULLS",1566.99,548
"21913","VINTAGE SEASIDE JIGSAW PUZZLES",1565.83,398
"84279P","CHERRY BLOSSOM  DECORATIVE FLASK",1565.71,377
"22313","OFFICE MUG WARMER PINK",1564.83,565
"85132A","CHARLIE + LOLA BISCUITS TINS",1561.77,545
"21744","SNOWFLAKE PORTABLE TABLE LIGHT",1557.65,529
"21528","DAIRY MAID TRADITIONAL TEAPOT",1557.57,215
"22675","FRENCH KITCHEN SIGN BLUE METAL",1555.16,1240
"22818","CARD CHRISTMAS VILLAGE",1550.4,3633
"20665","RED RETROSPOT PURSE",1546.27,461
"22982","PANTRY PASTRY BRUSH",1543.77,1154
"22600","CHRISTMAS RETROSPOT STAR WOOD",1543.23,1698
"22318","FIVE HEART HANGING DECORATION",1541.62,462
"21898","POTTING SHED ROSE CANDLE",1541.11,493
"20985","HEART CALCULATOR",1540.59,1179
"84971S","SMALL HEART FLOWERS HOOK",1540.45,1761
"10133","COLOURING PENCILS BROWN TUBE",1539.6,2856
"22176","BLUE OWL SOFT TOY",1536.88,512
"22731","3D CHRISTMAS STAMPS STICKERS",1536.24,1172
"23267","SET OF 4 SANTA PLACE SETTINGS",1531.95,1202
"21200","MULTICOLOUR HONEYCOMB PAPER GARLAND",1531.14,1119
"22828","REGENCY MIRROR WITH SHUTTERS",1530,10
"22472","TV DINNER TRAY DOLLY GIRL",1527.01,320
"84968E","SET OF 16 VINTAGE BLACK CUTLERY",1522.53,132
"22530","MAGIC DRAWING SLATE DOLLY GIRL",1516.46,3628
"85049C","ROMANTIC PINKS RIBBONS",1515.69,1215
"22770","MIRROR CORNICE",1515.68,94
"21352","EUCALYPTUS & PINECONE  WREATH",1511.26,378
"22591","CARDHOLDER GINGHAM CHRISTMAS TREE",1509.41,413
"21361","LOVE LARGE WOOD LETTERS",1505.96,106
"22905","CALENDAR IN SEASON DESIGN",1502.29,581
"22471","TV DINNER TRAY AIR HOSTESS",1502.02,419
"20668","DISCO BALL CHRISTMAS DECORATION",1501.4,12883
"23250","VINTAGE RED TRIM ENAMEL BOWL",1501.03,1155
"21792","CLASSIC FRENCH STYLE BASKET GREEN",1497.72,344
"23280","FOLDING BUTTERFLY MIRROR HOT PINK",1495.24,1867
"23334","IVORY WICKER HEART SMALL",1491.75,2271
"37342","POLKADOT COFFEE CUP & SAUCER PINK",1489.01,1570
"72349B","SET/6 PURPLE BUTTERFLY T-LIGHTS",1486.69,729
"35924","HANGING FAIRY CAKE DECORATION",1484.3,820
"21327","SKULLS WRITING SET",1484.13,864
"23271","CHRISTMAS TABLE SILVER CANDLE SPIKE",1483.61,1715
"22203","MILK PAN RED RETROSPOT",1483.13,403
"84580","MOUSE TOY WITH PINK T-SHIRT",1482.43,389
"23559","WOODLAND BUNNIES LOLLY MAKERS",1482.41,649
"21447","12 IVORY ROSE PEG PLACE SETTINGS",1478.1,969
"21619","4 VANILLA BOTANICAL CANDLES",1476.4,974
"23392","SPACEBOY ROCKET LOLLY MAKERS",1475.03,662
"22802","FAUX FUR CHOCOLATE THROW",1474.74,87
"22664","TOY TIDY DOLLY GIRL DESIGN",1472.85,713
"21470","FLOWER VINE RAFFIA FOOD COVER",1470.32,381
"23365","SET 12 COLOUR PENCILS LOVE LONDON",1463.08,1857
"21705","BAG 500g SWIRLY MARBLES",1462.17,1459
"84818","DANISH ROSE PHOTO FRAME",1460.81,1423
"21829","DINOSAUR KEYRINGS ASSORTED",1460.74,6765
"23470","CARD HOLDER LOVE BIRD LARGE",1460.5,232
"21872","GLAMOROUS  MUG",1454.98,1292
"22461","SAVOY ART DECO CLOCK",1453.58,239
"22696","WICKER WREATH LARGE",1452.55,729
"21191","LARGE WHITE HONEYCOMB PAPER BELL",1451.82,562
"23034","DRAWER KNOB CERAMIC BLACK",1448.67,979
"22939","APRON APPLE DELIGHT",1446.79,285
"23086","ZINC  STAR T-LIGHT HOLDER",1441.43,1217
"15044A","PINK PAPER PARASOL",1439.02,458
"22713","CARD I LOVE LONDON",1437.36,3441
"84031B","CHARLIE LOLA BLUE HOT WATER BOTTLE",1435.72,303
"85054","FRENCH ENAMEL POT W LID",1430.63,587
"15058C","ICE CREAM DESIGN GARDEN PARASOL",1429.82,240
"21620","SET OF 4 ROSE BOTANICAL CANDLES",1429.49,881
"22922","FRIDGE MAGNETS US DINER ASSORTED",1422.9,1587
"22458","CAST IRON HOOK GARDEN FORK",1421.83,523
"21407","BROWN CHECK CAT DOORSTOP",1421.11,290
"23057","BEADED CHANDELIER T-LIGHT HOLDER",1420.97,695
"22182","CAKE STAND VICTORIAN FILIGREE SMALL",1420.58,372
"22285","HANGING HEN ON NEST DECORATION",1418.82,828
"22306","SILVER MUG BONE CHINA TREE OF LIFE",1415.85,1162
"22714","CARD BIRTHDAY COWBOY",1415.73,3487
"22576","SWALLOW WOODEN CHRISTMAS DECORATION",1414.46,1538
"22531","MAGIC DRAWING SLATE CIRCUS PARADE",1412.41,3382
"84536A","ENGLISH ROSE NOTEBOOK A7 SIZE",1409.9,3138
"82567","AIRLINE LOUNGE,METAL SIGN",1408.07,711
"22915","ASSORTED BOTTLE TOP  MAGNETS",1406.42,3152
"23249","VINTAGE RED ENAMEL TRIM PLATE",1406.3,830
"51014C","FEATHER PEN,COAL BLACK",1405.73,2687
"21363","HOME SMALL WOOD LETTERS",1403.94,243
"23119","PACK OF 6 LARGE FRUIT STRAWS",1401.7,2282
"21424","WOODLAND STORAGE BOX LARGE",1401.02,346
"22436","12 COLOURED PARTY BALLOONS",1398.51,2134
"23055","IVORY CHANDELIER T-LIGHT HOLDER",1395.18,657
"23040","PAPER LANTERN 9 POINT SNOW STAR",1394.03,253
"84813","SET OF 4 DIAMOND NAPKIN RINGS",1393.79,166
"22443","GROW YOUR OWN HERBS SET OF 3",1391.74,164
"84795B","SUNSET CHECK HAMMOCK",1390.64,176
"21519","GIN & TONIC DIET GREETING CARD",1389.22,3299
"22677","FRENCH BLUE METAL DOOR SIGN 2",1389.07,1001
"22976","CIRCUS PARADE CHILDRENS EGG CUP",1389.01,1066
"21537","RED RETROSPOT PUDDING BOWL",1387.96,332
"22299","PIG KEYRING WITH LIGHT & SOUND",1386.97,1379
"23376","PACK OF 12 VINTAGE CHRISTMAS TISSUE",1384.91,3039
"22071","SMALL WHITE RETROSPOT MUG IN BOX",1384.3,729
"21123","SET/10 IVORY POLKADOT PARTY CANDLES",1380.84,1143
"22363","GLASS JAR MARMALADE",1380.8,480
"23104","IVORY CAFE HANGING LAMP",1380.42,116
"21071","VINTAGE BILLBOARD DRINK ME MUG",1380.28,991
"22735","RIBBON REEL SOCKS AND MITTENS",1379.21,741
"23414","ZINC BOX SIGN HOME",1378.75,141
"21382","SET/4 SPRING FLOWER DECORATION",1376.53,1143
"22047","EMPIRE GIFT WRAP",1373.5,3375
"23536","WALL ART VILLAGE SHOW",1369.71,240
"21820","GLITTER HEART GARLAND WITH BELLS",1368.47,329
"23000","TRAVEL CARD WALLET TRANSPORT",1368.28,3169
"22609","PENS ASSORTED SPACEBALL",1368.1,5874
"22063","CERAMIC BOWL WITH STRAWBERRY DESIGN",1367.45,583
"23546","WRAP PAISLEY PARK",1365,3250
"23221","REINDEER HEART DECORATION SILVER",1363.04,1536
"22716","CARD CIRCUS PARADE",1360.91,3201
"85227","SET OF 6 3D KIT CARDS FOR KIDS",1359.4,1477
"22911","PAPER CHAIN KIT LONDON",1358.09,463
"85232B","SET OF 3 BABUSHKA STACKING TINS",1356.3,274
"23469","CARD HOLDER LOVE BIRD SMALL",1355.24,332
"21039","RED RETROSPOT SHOPPING BAG",1353.69,523
"22304","COFFEE MUG BLUE PAISLEY DESIGN",1352.88,761
"21686","MEDINA STAMPED METAL STOOL",1351.64,35
"22754","SMALL RED BABUSHKA NOTEBOOK",1350.47,1951
"21615","4 LAVENDER BOTANICAL DINNER CANDLES",1347.92,891
"22949","36 DOILIES DOLLY GIRL",1347.89,911
"22421","LIPSTICK PEN FUSCHIA",1347.1,2597
"22399","MAGNETS PACK OF 4 CHILDHOOD MEMORY",1347.08,1152
"21987","PACK OF 6 SKULL PAPER CUPS",1346.65,2113
"22912","YELLOW COAT RACK PARIS FASHION",1342.39,287
"22917","HERB MARKER ROSEMARY",1340.22,1937
"84828","JUNGLE POPSICLES ICE LOLLY MOULDS",1338.87,960
"21246","RED RETROSPOT BIG BOWL",1336.78,286
"22073","RED RETROSPOT STORAGE JAR",1336.14,334
"22293","HANGING CHICK GREEN DECORATION",1335.87,903
"21624","VINTAGE UNION JACK DOORSTOP",1331.56,216
"72802A","ROSE SCENT CANDLE IN JEWELLED BOX",1329.91,323
"23538","WALL ART VINTAGE HEART",1329.54,331
"22362","GLASS JAR PEACOCK BATH SALTS",1329.44,408
"23232","WRAP VINTAGE PETALS  DESIGN",1327.5,3275
"22742","MAKE YOUR OWN PLAYTIME CARD KIT",1323.57,639
"85183B","CHARLIE & LOLA WASTEPAPER BIN FLORA",1323.37,996
"22650","CERAMIC PIRATE CHEST MONEY BANK",1320.7,851
"22916","HERB MARKER THYME",1314.21,1905
"21179","NO JUNK MAIL METAL SIGN",1313.79,1940
"23373","VINTAGE CHRISTMAS PAPER GIFT BAG",1313.39,1608
"37447","CERAMIC CAKE DESIGN SPOTTED PLATE",1313.28,820
"23405","HOME SWEET HOME 2 DRAWER CABINET",1311.48,252
"90057","DIAMANTE RING ASSORTED IN BOX.",1311.36,1008
"21195","PINK  HONEYCOMB PAPER BALL",1308.56,693
"22686","FRENCH BLUE METAL DOOR SIGN No",1308.38,993
"22028","PENNY FARTHING BIRTHDAY CARD",1304.14,3042
"85199S","SMALL HANGING IVORY/RED WOOD BIRD",1302.31,2660
"21627","ELEPHANT CARNIVAL POUFFE",1299.83,63
"21793","CLASSIC FRENCH STYLE BASKET BROWN",1296.61,304
"22310","IVORY KNITTED MUG COSY",1296.23,668
"21422","PORCELAIN ROSE SMALL",1295,1607
"22439","6 ROCKET BALLOONS",1293.22,1898
"21866","UNION JACK FLAG LUGGAGE TAG",1292.38,747
"22372","AIRLINE BAG VINTAGE WORLD CHAMPION",1289.49,279
"21616","4 PEAR BOTANICAL DINNER CANDLES",1288.34,822
"84012","MAGIC SHEEP WOOL GROWING FROM PAPER",1283.99,1265
"21408","SPOTTY PINK DUCK DOORSTOP",1282.81,285
"21064","BOOM BOX SPEAKER BOYS",1281.2,296
"21901","KEY FOB , BACK DOOR",1277.89,1828
"22918","HERB MARKER PARSLEY",1275.35,1869
"21090","SET/6 COLLAGE PAPER PLATES",1274.19,2413
"47480","HANGING PHOTO CLIP ROPE LADDER",1274.17,746
"23072","MARIE ANTOINETTE TRINKET BOX SILVER",1273.76,334
"85059","FRENCH ENAMEL WATER BASIN",1273.11,411
"21211","SET OF 72 SKULL PAPER  DOILIES",1270.07,883
"21897","POTTING SHED CANDLE CITRONELLA",1268.19,405
"21902","KEY FOB , FRONT  DOOR",1262.37,1962
"23061","VINTAGE EMBOSSED HEART",1257.68,955
"47503A","ASS FLORAL PRINT MULTI SCREWDRIVER",1254.12,2734
"23237","SET OF 4 KNICK KNACK TINS LEAVES",1253.78,306
"22977","DOLLY GIRL CHILDRENS EGG CUP",1252.61,950
"23511","EMBROIDERED RIBBON REEL EMILY",1252.01,571
